2452545.536	194	232
2452545.545	204	208
2452548.473	424	111
2452571.576	324	127
2452592.467	471	141
2452596.415	302	115
2452656.243	-215	209
2452657.267	-155	215
2452659.261	-240	248
2452660.294	-140	321
2452662.269	87	229
2452681.342	-181	284
2452714.277	-75	322
2452834.524	107	144
2452858.575	253	157
2452859.6	320	146
2452861.586	154	107
2452863.588	340	175
2452878.478	258	169
2452925.422	178	128
2452926.48	172	148
2452931.401	338	111
2452948.365	219	167
2452949.385	198	143
2452950.438	132	193
2452950.445	81	168
2452952.4	-153	192
2452955.422	401	168
2452956.465	293	123
2452981.367	-27	109
2452982.388	112	143
2452983.413	79	108
2453022.29	-394	334
2453023.368	-156	222
2453221.497	190	184
2453224.547	245	162
2453225.512	231	134
2453247.392	530	281
2453248.491	-8	140
2453250.48	319	154
2453251.466	53	143
2453252.493	253	114
2453253.432	339	161
2453254.45	279	146
2453275.514	286	120
2453277.546	110	175
2453280.508	181	150
2453281.622	83	134
2453282.493	62	169
2453284.351	119	201
2453301.372	198	170
2453309.444	86	138
2453388.345	-356	323
2453431.292	-354	267
2453432.266	-318	265
2453658.365	-147	139
2453662.535	-75	145
2453749.258	-478	258
2453780.367	-426	236
2453783.265	-267	230
2453784.289	-238	277
2453814.277	142	157
2453815.29	-193	154
2453954.589	-63	148
2453985.626	-40	147
2454018.455	-88	100
2454070.395	65	118
2454071.516	-302	122
2454079.374	-138	208
2454080.365	-69	94
2454082.438	-146	111
2454108.341	-326	152
2454136.254	-275	162
2454162.259	-493	180
2454165.349	-222	138
2454316.58	-77	111
2454337.564	-82	122
2454338.559	-160	204
2454342.615	-147	155
2454357.56	89	152
2454359.573	-146	102
2454360.541	-153	180
2454360.576	29	117
2454364.561	-140	136
2454366.537	-47	117
2454367.554	-52	115
2454415.428	-62	136
2454429.385	-147	137
2454433.367	-111	98
2454491.293	-86	245
2454512.358	-2	297
2454514.353	-90	368
2454521.285	0	183
2454692.599	-179	121
2454695.602	-122	101
2454696.539	-83	118
2454757.637	-383	153
2454758.61	-337	86
