2453577.54	26.34614	0.00082
2453814.837	26.34973	0.00051
2454200.859	26.34939	0.00078
2454202.826	26.34877	0.00059
2454562.834	26.34819	0.00059
2454563.809	26.34682	0.00063
2454564.803	26.34689	0.00088
2454566.819	26.3441		0.00069
2454570.772	26.34473	0.00073
2454571.79	26.34402	0.00101
2454610.837	26.34066	0.00094
2454611.66	26.33828	0.00073
2454612.722	26.3435		0.00111
2454616.655	26.33977	0.00087
2454617.744	26.33999	0.00095
2454638.784	26.34646	0.00108
2454639.712	26.34637	0.00071
2454640.678	26.34629	0.00098
2454641.673	26.3456		0.00091
2454642.649	26.34429	0.00073
2454643.67	26.34162	0.00093
2454644.677	26.34264	0.00077
2454646.581	26.34221	0.00079
2454649.454	26.34157	0.00084
2454679.56	26.34599	0.0012
2454950.813	26.34607	0.00069
2454952.79	26.34498	0.00083
2454953.766	26.34792	0.00077
2454954.779	26.34987	0.00063
2454988.66	26.35016	0.00068
2454991.695	26.351		0.00083
2455025.536	26.35193	0.00131
2455038.508	26.35479	0.00081
2455039.584	26.35372	0.00065
2455224.885	26.35618	0.00064
2455227.878	26.35394	0.00064
2455241.89	26.34778	0.00057
2455242.88	26.34918	0.00072
2455243.885	26.35039	0.00086
2455246.86	26.34978	0.0008
2455247.876	26.35105	0.0008
2455280.841	26.34495	0.00067
2455283.804	26.34576	0.0007
2455370.538	26.35431	0.00102
2455372.596	26.35266	0.00073
2455374.567	26.35676	0.0012
2455403.529	26.35504	0.00132
2455412.539	26.3611		0.0009
2455424.491	26.35933	0.00129
2455437.503	26.35928	0.00076
2455438.483	26.35856	0.00066
2455453.477	26.36861	0.00065
2455456.482	26.36404	0.00086
2455460.507	26.36353	0.00151
2455464.562	26.3645		0.00098
2455591.864	26.35511	0.0008
2455611.853	26.35044	0.00081
2455615.855	26.34877	0.00065
2455620.897	26.35022	0.00095
2455624.901	26.3548		0.00076
2455628.891	26.35172	0.00091
2455631.88	26.34628	0.00086
