2450830.051	-257.26		1.54
2451212.069	-126.27		2.79
2451213.049	-113.69		1.59
2451236.038	-102.07		2.26
2451273.995	-90.49		2.81
2451274.863	-90.17		1.72
2451275.917	-92.72		1.92
2451411.319	-36.67		2.52
2451473.243	-15.43		2.08
2451526.127	0		2.8
2451683.87	37.87		2.43
2451828.208	85.36		1.91
2452387.875	190.22		1.47
2452389.858	199.19		1.49
2452420.872	192.87		1.54
2452424.842	198.61		1.42
2452592.172	234.72		1.56
2452655.097	224.33		3.19
2452709.008	239.05		7.22
2452745.932	236.66		1.69
2452785.861	237.49		1.61
2452943.217	255.47		2.48
2452947.237	255.9		1.49
2453044.077	251.06		1.55
2453401.07	238.75		1.31
2454039.188	142.58		0.82
2454221.874	80.02		0.9
2454226.873	79.96		1
2454755.288	-121.03		3.08
2454846.053	-175.48		0.56
2455845.264	-864.29		2.76
2455899.176	-908.07		1.4
2456744.931	-1789.01	2.02
2456747.888	-1798.53	2.15
2457053.16	-2160.51	2.32
